L-value,Fe (2TAPL),Fe (4TAPL),"AlmO, int (2TAPL), 1 Acm","AlmO, int (4TAPL), 1 Acm","And, int (2TAPL), 1 Acm","And, int (4TAPL), 1 Acm","AlmO, diff (2TAPL), 1 Acm","AlmO, diff (4TAPL), 1 Acm","And, diff (2TAPL), 1 Acm","And, diff (4TAPL), 1 Acm","AlmO, int (2TAPL), 4 Acm","AlmO, int (4TAPL), 4 Acm","And, int (2TAPL), 4 Acm","And, int (4TAPL), 4 Acm"
193.59000,153,206,105,21.00000,18.00000,27.00000,33.00000,98,81,77,398,482,300,306
193.60000,167,210,125,16.00000,16.00000,32.00000,29.00000,134,63,81,430,476,285,328
193.61000,164,216,100,18.00000,19.00000,31.00000,29.00000,152,69,69,414,499,299,328
193.62000,157,184,87,22.00000,18.00000,38.00000,33.00000,125,80,84,417,486,308,256
193.63000,156,191,116,28.00000,27.00000,39.00000,23.00000,139,74,86,389,482,296,330
193.64000,174,222,103,17.00000,17.00000,34.00000,25.00000,117,76,92,375,483,302,315
193.65000,157,204,121,26.00000,17.00000,28.00000,32.00000,122,80,71,433,459,339,271
193.66000,154,193,109,12.00000,18.00000,21.00000,26.00000,121,81,94,441,504,275,298
193.67000,188,174,97,13.00000,16.00000,35.00000,28.00000,113,75,67,412,494,303,311
193.68000,175,188,107,14.00000,11.00000,28.00000,25.00000,133,73,72,404,484,285,313
193.69000,183,197,113,17.00000,18.00000,29.00000,25.00000,123,63,81,409,506,252,302
193.70000,160,201,85,19.00000,18.00000,24.00000,26.00000,120,85,74,418,508,287,285
193.71000,202,195,114,13.00000,24.00000,21.00000,21.00000,122,75,63,422,458,263,302
193.72000,164,214,97,16.00000,13.00000,27.00000,25.00000,133,66,87,403,467,286,293
193.73000,166,230,112,16.00000,16.00000,29.00000,22.00000,104,82,82,422,462,304,275
193.74000,175,210,116,17.00000,18.00000,24.00000,20.00000,124,78,99,422,471,281,279
193.75000,204,205,99,24.00000,25.00000,32.00000,24.00000,116,85,84,406,451,295,297
193.76000,184,207,100,11.00000,19.00000,22.00000,19.00000,125,69,71,407,482,307,289
193.77000,188,196,94,16.00000,8.00000,22.00000,20.00000,113,67,85,434,492,296,298
193.78000,175,210,120,17.00000,15.00000,33.00000,32.00000,101,74,74,371,461,299,295
193.79000,199,202,106,12.00000,16.00000,28.00000,25.00000,131,68,81,374,449,299,285
193.80000,173,201,91,12.00000,14.00000,34.00000,27.00000,124,92,67,440,471,288,291
193.81000,173,185,119,20.00000,15.00000,24.00000,24.00000,103,82,67,388,469,279,321
193.82000,171,203,102,16.00000,9.00000,22.00000,22.00000,122,66,79,440,475,276,274
193.83000,177,183,97,13.00000,17.00000,31.00000,35.00000,120,61,70,422,478,297,284
193.84000,171,201,111,15.00000,18.00000,36.00000,22.00000,103,77,85,427,478,286,307
193.85000,170,200,105,24.00000,18.00000,21.00000,30.00000,112,90,82,427,470,244,281
193.86000,148,196,97,20.00000,13.00000,20.00000,28.00000,117,64,89,420,509,305,288
193.87000,190,184,111,15.00000,20.00000,27.00000,24.00000,142,71,78,429,469,310,290
193.88000,190,224,104,20.00000,18.00000,27.00000,21.00000,91,77,83,426,494,298,307
193.89000,180,203,104,21.00000,15.00000,27.00000,23.00000,127,72,73,431,447,311,269
193.90000,194,192,110,14.00000,19.00000,30.00000,23.00000,114,82,65,413,493,265,320
193.91000,160,211,95,13.00000,20.00000,23.00000,27.00000,111,75,76,423,488,304,291
193.92000,187,196,98,14.00000,13.00000,22.00000,25.00000,105,77,69,407,477,301,271
193.93000,170,188,106,13.00000,13.00000,27.00000,25.00000,110,69,67,406,478,279,269
193.94000,146,209,102,12.00000,9.00000,17.00000,31.00000,119,79,78,405,486,300,291
193.95000,170,181,128,14.00000,15.00000,28.00000,24.00000,110,76,66,415,469,289,305
193.96000,167,199,120,8.00000,16.00000,21.00000,26.00000,116,84,89,394,477,288,285
193.97000,165,205,114,18.00000,16.00000,26.00000,23.00000,93,63,62,430,451,299,296
193.98000,159,217,117,20.00000,15.00000,32.00000,18.00000,120,66,74,464,435,261,276
193.99000,160,193,123,8.00000,18.00000,18.00000,19.00000,126,77,76,416,441,267,302
194.00000,161,181,115,22.00000,20.00000,22.00000,24.00000,111,72,76,419,462,321,256
194.01000,177,179,122,14.00000,12.00000,27.00000,29.00000,107,79,72,444,463,285,286
194.02000,149,205,115,10.00000,16.00000,26.00000,22.00000,141,69,72,446,459,285,324
194.03000,146,206,114,13.00000,15.00000,19.00000,22.00000,101,83,73,460,455,309,287
194.04000,198,218,123,19.00000,8.00000,27.00000,15.00000,106,89,71,393,417,299,299
194.05000,191,194,106,12.00000,9.00000,22.00000,27.00000,100,84,73,470,436,300,283
194.06000,164,219,100,11.00000,13.00000,24.00000,16.00000,92,82,72,395,441,309,293
194.07000,172,197,131,15.00000,19.00000,21.00000,20.00000,129,77,52,427,474,281,289
194.08000,182,176,112,21.00000,13.00000,25.00000,29.00000,118,76,69,435,464,283,265
194.09000,174,183,110,10.00000,16.00000,28.00000,16.00000,115,97,65,433,448,277,278
194.10000,181,197,115,11.00000,16.00000,36.00000,16.00000,117,88,79,416,450,292,284
194.11000,178,188,98,17.00000,14.00000,21.00000,28.00000,110,72,76,441,424,310,326
194.12000,168,189,111,15.00000,13.00000,26.00000,26.00000,108,70,92,446,438,266,248
194.13000,174,185,93,15.00000,10.00000,20.00000,16.00000,110,72,74,400,413,327,296
194.14000,182,211,111,16.00000,9.00000,23.00000,20.00000,112,69,61,424,437,301,290
194.15000,186,195,113,10.00000,12.00000,26.00000,27.00000,109,73,60,402,469,304,274
194.16000,175,189,115,18.00000,17.00000,19.00000,25.00000,96,72,96,404,449,300,280
194.17000,172,203,100,14.00000,27.00000,16.00000,12.00000,124,70,68,423,470,291,293
194.18000,175,178,109,18.00000,15.00000,16.00000,27.00000,114,82,64,455,457,268,288
194.19000,153,185,106,10.00000,14.00000,17.00000,25.00000,107,71,66,383,449,277,281
194.20000,188,191,104,14.00000,6.00000,21.00000,18.00000,105,75,70,426,455,291,262
194.21000,208,205,89,12.00000,11.00000,19.00000,17.00000,99,65,76,430,444,313,278
194.22000,164,199,111,14.00000,22.00000,16.00000,18.00000,115,62,70,453,462,286,276
194.23000,180,179,90,13.00000,19.00000,12.00000,12.00000,111,64,75,445,436,258,266
194.24000,156,206,107,9.00000,18.00000,30.00000,24.00000,103,73,71,435,453,310,263
194.25000,189,189,114,10.00000,12.00000,22.00000,13.00000,94,68,59,411,420,272,283
194.26000,205,167,107,17.00000,15.00000,26.00000,20.00000,106,81,81,382,430,283,249
194.27000,144,173,108,12.00000,14.00000,16.00000,17.00000,113,71,73,449,397,303,291
194.28000,182,183,110,9.00000,15.00000,21.00000,15.00000,96,71,74,406,440,283,300
194.29000,143,164,96,12.00000,10.00000,17.00000,16.00000,119,67,77,449,414,284,304
194.30000,169,201,105,15.00000,19.00000,17.00000,21.00000,91,67,85,429,411,314,269
194.31000,172,171,135,8.00000,13.00000,17.00000,18.00000,117,70,72,419,393,285,238
194.32000,191,203,120,12.00000,6.00000,19.00000,24.00000,98,72,69,482,451,313,280
194.33000,203,180,112,14.00000,19.00000,21.00000,14.00000,119,89,74,412,433,319,294
194.34000,182,179,114,8.00000,9.00000,20.00000,17.00000,117,74,76,423,493,275,264
194.35000,178,171,93,16.00000,16.00000,13.00000,25.00000,107,75,74,416,426,281,297
194.36000,175,163,111,6.00000,12.00000,13.00000,14.00000,103,63,66,437,416,315,279
194.37000,183,186,111,16.00000,15.00000,20.00000,22.00000,102,66,61,395,428,296,239
194.38000,167,190,102,9.00000,11.00000,10.00000,21.00000,93,75,58,398,460,278,299
194.39000,191,151,121,11.00000,11.00000,17.00000,17.00000,90,62,63,451,417,299,248
194.40000,176,180,106,18.00000,9.00000,13.00000,18.00000,106,65,85,431,402,275,230
194.41000,181,177,112,15.00000,10.00000,18.00000,21.00000,118,67,63,416,423,270,277
194.42000,158,197,140,9.00000,14.00000,18.00000,29.00000,121,75,62,422,443,276,243
194.43000,167,185,93,10.00000,15.00000,19.00000,24.00000,102,75,72,406,412,260,249
194.44000,193,181,116,16.00000,8.00000,15.00000,18.00000,112,76,58,432,444,274,273
194.45000,153,171,94,9.00000,7.00000,16.00000,19.00000,116,66,86,416,402,273,242
194.46000,195,168,106,7.00000,14.00000,17.00000,18.00000,102,65,74,434,410,267,238
194.47000,163,158,132,9.00000,15.00000,16.00000,21.00000,103,78,47,450,368,271,253
194.48000,163,213,117,7.00000,7.00000,21.00000,21.00000,100,74,48,429,403,280,277
194.49000,173,197,125,14.00000,12.00000,21.00000,15.00000,109,79,54,443,393,268,284
194.50000,176,177,113,8.00000,9.00000,17.00000,23.00000,103,68,53,422,376,286,265
194.51000,158,159,141,15.00000,12.00000,19.00000,13.00000,121,77,72,422,436,273,254
194.52000,163,194,109,12.00000,9.00000,16.00000,17.00000,105,66,89,464,413,284,244
194.53000,150,178,94,14.00000,12.00000,13.00000,23.00000,103,88,67,448,426,251,268
194.54000,165,164,118,10.00000,11.00000,15.00000,21.00000,82,65,63,427,393,297,291
194.55000,172,183,114,12.00000,12.00000,13.00000,19.00000,104,62,77,383,453,266,270
194.56000,168,185,112,13.00000,16.00000,15.00000,19.00000,103,66,76,426,391,272,286
194.57000,192,181,113,12.00000,13.00000,16.00000,20.00000,101,62,61,419,417,278,246
194.58000,148,182,127,11.00000,12.00000,16.00000,20.00000,96,65,66,406,402,280,272
194.59000,164,158,98,9.00000,15.00000,14.00000,12.00000,91,61,61,415,426,260,245
194.60000,190,162,104,8.00000,12.00000,23.00000,17.00000,100,81,74,421,386,278,234
194.61000,173,146,130,10.00000,6.00000,14.00000,15.00000,96,69,75,406,397,302,242
194.62000,149,188,116,12.00000,4.00000,20.00000,21.00000,114,65,82,443,371,299,244
194.63000,176,164,94,15.00000,11.00000,17.00000,19.00000,94,67,64,448,382,271,275
194.64000,173,190,118,10.00000,15.00000,18.00000,18.00000,73,70,64,388,414,253,253
194.65000,144,190,105,16.00000,9.00000,16.00000,11.00000,95,63,53,446,394,301,274
194.66000,188,192,120,14.00000,10.00000,25.00000,13.00000,103,68,70,484,397,287,268
194.67000,138,162,113,9.00000,9.00000,9.00000,20.00000,94,69,59,441,396,275,264
194.68000,177,202,103,12.00000,14.00000,19.00000,20.00000,108,73,55,421,410,291,241
194.69000,158,168,110,11.00000,14.00000,12.00000,19.00000,111,80,52,446,379,230,247
194.70000,160,159,115,10.00000,10.00000,11.00000,17.00000,110,76,60,453,406,265,233
194.71000,165,184,121,17.00000,11.00000,27.00000,22.00000,102,72,60,430,396,264,254
194.72000,182,185,119,12.00000,17.00000,14.00000,11.00000,112,54,51,460,393,289,264
194.73000,173,172,103,8.00000,12.00000,17.00000,16.00000,99,68,68,427,359,300,268
194.74000,191,161,97,13.00000,8.00000,9.00000,11.00000,109,68,52,428,383,308,263
194.75000,153,187,112,9.00000,8.00000,23.00000,15.00000,105,69,57,439,352,274,274
194.76000,163,156,99,11.00000,7.00000,16.00000,13.00000,83,68,66,427,394,279,252
194.77000,161,168,107,9.00000,12.00000,11.00000,10.00000,62,84,46,395,355,255,247
194.78000,170,166,110,11.00000,11.00000,17.00000,20.00000,101,69,66,430,392,257,251
194.79000,175,171,100,11.00000,6.00000,19.00000,17.00000,87,49,67,400,390,273,238
194.80000,170,184,115,6.00000,6.00000,11.00000,20.00000,86,77,69,415,397,249,263
194.81000,179,171,117,9.00000,13.00000,8.00000,17.00000,88,76,57,443,363,271,265
194.82000,174,187,100,13.00000,8.00000,22.00000,22.00000,105,68,84,422,356,268,274
194.83000,177,162,120,10.00000,14.00000,12.00000,15.00000,86,71,61,425,400,255,237
194.84000,172,148,108,7.00000,10.00000,17.00000,16.00000,99,70,79,431,411,255,252
194.85000,172,153,105,13.00000,14.00000,14.00000,15.00000,86,79,69,416,367,325,266
194.86000,160,172,122,10.00000,12.00000,15.00000,12.00000,106,61,62,409,366,282,232
194.87000,158,174,123,9.00000,11.00000,16.00000,15.00000,97,58,68,408,346,268,243
194.88000,191,179,109,8.00000,11.00000,13.00000,19.00000,82,63,77,428,355,281,254
194.89000,147,182,112,6.00000,10.00000,15.00000,13.00000,83,86,62,414,396,272,221
194.90000,161,167,104,10.00000,11.00000,13.00000,11.00000,81,58,71,393,347,255,229
194.91000,171,183,103,8.00000,9.00000,13.00000,17.00000,81,71,58,403,349,279,248
194.92000,165,209,97,7.00000,6.00000,13.00000,20.00000,87,66,60,405,414,281,233
194.93000,165,193,114,10.00000,10.00000,17.00000,16.00000,90,66,59,436,353,250,253
194.94000,150,190,105,7.00000,12.00000,10.00000,19.00000,96,69,55,430,404,239,257
194.95000,160,158,107,10.00000,12.00000,13.00000,21.00000,99,66,66,424,380,272,257
194.96000,145,176,102,6.00000,11.00000,12.00000,19.00000,88,74,74,393,370,261,254
194.97000,172,146,113,9.00000,6.00000,14.00000,22.00000,96,71,54,448,357,264,257
194.98000,165,149,96,11.00000,10.00000,12.00000,15.00000,95,47,60,416,388,275,240
194.99000,150,192,107,9.00000,9.00000,13.00000,31.00000,89,64,49,421,337,268,223
195.00000,162,171,100,4.00000,12.00000,25.00000,11.00000,93,57,59,418,390,262,246
195.01000,181,126,110,8.00000,16.00000,20.00000,14.00000,73,71,74,416,342,267,251
195.02000,158,162,127,15.00000,12.00000,7.00000,14.00000,97,53,65,416,338,256,230
195.03000,150,179,107,7.00000,16.00000,15.00000,13.00000,86,77,58,386,345,241,241
195.04000,178,183,115,11.00000,7.00000,17.00000,20.00000,83,66,70,417,349,250,243
195.05000,178,152,126,5.00000,11.00000,12.00000,14.00000,78,66,57,408,369,254,227
195.06000,153,171,98,11.00000,10.00000,15.00000,18.00000,101,54,65,372,369,264,236
195.07000,185,148,126,12.00000,15.00000,7.00000,10.00000,99,60,49,382,347,290,247
195.08000,170,150,118,9.00000,9.00000,17.00000,7.00000,99,58,60,427,357,268,231
195.09000,169,152,104,5.00000,15.00000,11.00000,23.00000,85,67,56,434,321,230,266
195.10000,184,177,116,12.00000,13.00000,15.00000,16.00000,94,66,66,400,369,281,261
195.11000,155,153,97,12.00000,8.00000,15.00000,14.00000,87,69,67,397,358,254,229
195.12000,152,169,87,5.00000,13.00000,22.00000,15.00000,79,69,59,430,341,225,209
195.13000,164,146,108,14.00000,10.00000,16.00000,22.00000,81,57,50,414,364,257,254
195.14000,172,150,85,11.00000,5.00000,14.00000,13.00000,99,56,55,422,309,284,249
195.15000,178,156,94,7.00000,12.00000,11.00000,12.00000,96,69,54,403,342,264,239
195.16000,134,168,112,9.00000,18.00000,13.00000,11.00000,85,70,63,426,360,235,237
195.17000,184,172,105,6.00000,9.00000,15.00000,16.00000,80,50,60,379,318,247,232
195.18000,182,165,93,4.00000,13.00000,14.00000,13.00000,102,63,68,427,353,240,214
195.19000,161,161,100,5.00000,12.00000,16.00000,18.00000,80,76,58,356,329,241,233
195.20000,158,163,88,11.00000,10.00000,13.00000,9.00000,82,50,69,386,311,248,238
195.21000,161,141,108,11.00000,8.00000,9.00000,18.00000,93,70,47,408,356,259,260
195.22000,165,181,96,8.00000,8.00000,12.00000,7.00000,78,70,61,391,313,289,211
195.23000,186,146,94,9.00000,10.00000,7.00000,13.00000,80,71,61,402,335,230,234
195.24000,170,159,113,12.00000,9.00000,14.00000,16.00000,68,50,62,397,350,257,224
195.25000,173,158,98,7.00000,16.00000,13.00000,16.00000,78,75,52,407,309,251,234
195.26000,162,145,102,5.00000,9.00000,10.00000,14.00000,84,48,61,387,354,238,210
195.27000,191,153,98,8.00000,14.00000,19.00000,15.00000,86,66,57,378,350,241,218
195.28000,156,155,95,8.00000,8.00000,10.00000,12.00000,91,56,53,378,339,267,222
195.29000,164,159,107,8.00000,10.00000,14.00000,8.00000,82,66,57,425,315,270,238
195.30000,149,164,82,8.00000,6.00000,11.00000,14.00000,86,53,66,392,353,234,250
195.31000,156,158,93,9.00000,13.00000,13.00000,13.00000,90,63,59,355,342,247,240
195.32000,163,146,77,12.00000,10.00000,12.00000,12.00000,89,56,47,390,361,248,192
195.33000,189,145,113,9.00000,13.00000,18.00000,6.00000,79,51,57,398,317,258,225
195.34000,177,155,103,11.00000,10.00000,9.00000,11.00000,86,77,46,385,318,253,223
195.35000,163,150,94,4.00000,5.00000,6.00000,12.00000,90,76,50,388,333,270,240
195.36000,165,166,96,9.00000,5.00000,19.00000,14.00000,84,58,65,377,311,268,206
195.37000,169,155,86,8.00000,11.00000,10.00000,13.00000,84,65,55,379,369,266,245
195.38000,160,179,96,11.00000,10.00000,15.00000,4.00000,85,63,60,387,347,253,210
195.39000,182,160,82,8.00000,3.00000,13.00000,15.00000,89,52,64,394,345,252,227
195.40000,193,144,114,9.00000,13.00000,5.00000,8.00000,86,67,47,392,351,239,229
195.41000,168,162,89,7.00000,10.00000,11.00000,12.00000,87,61,55,361,335,258,215
195.42000,174,166,91,7.00000,11.00000,4.00000,13.00000,89,75,53,376,321,260,236
195.43000,160,143,121,9.00000,8.00000,12.00000,9.00000,70,47,59,346,297,239,230
195.44000,154,172,93,12.00000,10.00000,8.00000,10.00000,90,60,50,390,315,254,207
195.45000,151,146,101,13.00000,9.00000,14.00000,14.00000,89,77,65,383,344,238,226
195.46000,171,171,89,6.00000,17.00000,7.00000,20.00000,88,63,48,398,334,230,242
195.47000,171,151,97,13.00000,8.00000,10.00000,15.00000,87,54,61,350,289,257,248
195.48000,164,164,82,13.00000,14.00000,9.00000,5.00000,78,50,57,324,317,245,249
195.49000,162,165,109,9.00000,14.00000,13.00000,12.00000,69,79,64,354,340,255,221
195.50000,178,163,89,10.00000,8.00000,8.00000,11.00000,70,76,42,383,305,240,219
